query mid=9451,threshold=0.170000
in func similar
cmp with mail 0,A=125,B=121
ptrA:44,ptrB:35,intersect:0
ptrA:44,ptrB:36,intersect:0
ptrA:44,ptrB:37,intersect:0
ptrA:44,ptrB:38,intersect:0
ptrA:44,ptrB:39,intersect:0
ptrA:44,ptrB:40,intersect:0
ptrA:44,ptrB:41,intersect:0
ptrA:44,ptrB:42,intersect:0
ptrA:44,ptrB:43,intersect:0
ptrA:44,ptrB:44,intersect:0
ptrA:44,ptrB:45,intersect:0
ptrA:44,ptrB:46,intersect:0
ptrA:44,ptrB:47,intersect:0
ptrA:44,ptrB:48,intersect:0
ptrA:44,ptrB:49,intersect:0
ptrA:44,ptrB:50,intersect:0
ptrA:44,ptrB:51,intersect:0
ptrA:44,ptrB:52,intersect:0
ptrA:45,ptrB:52,intersect:0
ptrA:46,ptrB:52,intersect:0
ptrA:47,ptrB:52,intersect:0
ptrA:48,ptrB:52,intersect:0
ptrA:49,ptrB:52,intersect:0
ptrA:50,ptrB:52,intersect:0
ptrA:51,ptrB:52,intersect:0
ptrA:52,ptrB:52,intersect:0
ptrA:53,ptrB:52,intersect:0
ptrA:54,ptrB:52,intersect:0
ptrA:54,ptrB:53,intersect:0
ptrA:54,ptrB:54,intersect:0
ptrA:54,ptrB:55,intersect:0
ptrA:55,ptrB:55,intersect:0
ptrA:56,ptrB:55,intersect:0
ptrA:57,ptrB:55,intersect:0
ptrA:58,ptrB:55,intersect:0
ptrA:58,ptrB:56,intersect:0
ptrA:58,ptrB:57,intersect:0
ptrA:58,ptrB:58,intersect:0
ptrA:58,ptrB:59,intersect:0
ptrA:58,ptrB:60,intersect:0
ptrA:59,ptrB:60,intersect:0
ptrA:59,ptrB:61,intersect:0
ptrA:60,ptrB:61,intersect:0
ptrA:60,ptrB:62,intersect:0
ptrA:61,ptrB:62,intersect:0
ptrA:62,ptrB:62,intersect:0
ptrA:62,ptrB:63,intersect:0
ptrA:62,ptrB:64,intersect:0
ptrA:63,ptrB:64,intersect:0
ptrA:64,ptrB:64,intersect:0
ptrA:65,ptrB:64,intersect:0
ptrA:66,ptrB:64,intersect:0
ptrA:67,ptrB:64,intersect:0
ptrA:68,ptrB:64,intersect:0
ptrA:69,ptrB:64,intersect:0
ptrA:70,ptrB:64,intersect:0
ptrA:70,ptrB:65,intersect:0
ptrA:71,ptrB:65,intersect:0
ptrA:71,ptrB:66,intersect:0
ptrA:71,ptrB:67,intersect:0
ptrA:71,ptrB:68,intersect:0
ptrA:71,ptrB:69,intersect:0
ptrA:71,ptrB:70,intersect:0
ptrA:72,ptrB:70,intersect:0
ptrA:73,ptrB:70,intersect:0
ptrA:73,ptrB:71,intersect:0
ptrA:74,ptrB:71,intersect:0
ptrA:75,ptrB:71,intersect:0
ptrA:76,ptrB:71,intersect:0
ptrA:76,ptrB:72,intersect:0
ptrA:76,ptrB:73,intersect:0
ptrA:77,ptrB:73,intersect:0
ptrA:77,ptrB:74,intersect:0
ptrA:77,ptrB:75,intersect:0
ptrA:77,ptrB:76,intersect:0
ptrA:77,ptrB:77,intersect:0
ptrA:77,ptrB:78,intersect:0
ptrA:78,ptrB:78,intersect:0
ptrA:79,ptrB:78,intersect:0
ptrA:79,ptrB:79,intersect:0
ptrA:80,ptrB:79,intersect:0
ptrA:81,ptrB:79,intersect:0
ptrA:81,ptrB:80,intersect:0
ptrA:81,ptrB:81,intersect:0
ptrA:81,ptrB:82,intersect:0
ptrA:81,ptrB:83,intersect:0
ptrA:82,ptrB:83,intersect:0
ptrA:82,ptrB:84,intersect:0
ptrA:82,ptrB:85,intersect:0
ptrA:82,ptrB:86,intersect:0
ptrA:83,ptrB:86,intersect:0
ptrA:84,ptrB:86,intersect:0
ptrA:85,ptrB:86,intersect:0
ptrA:85,ptrB:87,intersect:0
ptrA:86,ptrB:87,intersect:0
ptrA:87,ptrB:87,intersect:0
ptrA:88,ptrB:87,intersect:0
ptrA:89,ptrB:87,intersect:0
ptrA:89,ptrB:88,intersect:0
ptrA:89,ptrB:89,intersect:0
